url_path,views_total,views_unique
/chjch/LAA4356,18,7
/chjch/LAA4356/blob/master/tutorials/5-suitability.md,6,4
/chjch/LAA4356/blob/master/tutorials/2-learn_arcpro.md,3,2
/chjch/LAA4356/blob/master/tutorials/3-raster_geoprocessing.md,3,2
/chjch/LAA4356/blob/master/tutorials/1-software_and_data.md,2,2
/chjch/LAA4356/blob/master/tutorials/metadata/lulc/lulc.md,2,2
/chjch/LAA4356/tree/master/tutorials,2,2
/chjch/LAA4356/actions,2,1
/chjch/LAA4356/blob/master/tutorials/exercise1.md,2,1
/chjch/LAA4356/issues,2,1
